#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      5.4482      5.4482           0
           2      5.2659     5.35705   0.0644528
           3      6.0205      5.5782     0.18561
           4      5.7988     5.63335    0.147173
           5      6.2857     5.76382    0.165772
           6      4.0199     5.47317    0.299137
           7      6.5916     5.63294    0.296014
           8      5.5372     5.62097    0.259254
           9      5.4797     5.60528    0.230923
          10      5.3527     5.58002    0.209207
          11      5.3726     5.56116    0.191036
          12      6.3044      5.6231    0.184884
          13      5.9315     5.64682    0.172178
          14      5.8528     5.66154    0.160507
          15      6.3658     5.70849    0.156523
          16      4.5141     5.63384    0.163575
          17      5.4783     5.62469    0.154209
          18       5.032     5.59176    0.149116
          19      6.0834     5.61764    0.143495
          20      5.2821     5.60086    0.137297
