#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     1104.68     1104.68           0
           2     1110.57     1107.63     2.08236
           3     1103.71     1106.32     1.75088
           4     1110.33     1107.32     1.57468
           5     1106.88     1107.23     1.26228
           6     1102.98     1106.53     1.23483
           7     1117.81     1108.14     1.82916
           8     1102.26      1107.4     1.74166
           9     1108.29      1107.5     1.55093
          10     1104.88     1107.24     1.41784
          11     1108.82     1107.38     1.29621
          12     1111.24      1107.7     1.22747
          13     1121.68     1108.78     1.53293
          14     1103.96     1108.43      1.4616
          15     1114.42     1108.83     1.41757
          16     1105.64     1108.63     1.34292
          17     1108.84     1108.65     1.26398
          18     1106.13     1108.51     1.20147
          19     1107.94     1108.48     1.13861
          20     1106.64     1108.38     1.08539
