#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.724531   -0.724531           0
           2   -0.726494   -0.725513 0.000694054
           3   -0.724176   -0.725067 0.000588584
           4   -0.726584   -0.725446  0.00055012
           5    -0.72529   -0.725415 0.000440981
           6   -0.723992   -0.725178 0.000426531
           7   -0.728813   -0.725697 0.000603953
           8   -0.723659   -0.725442 0.000579716
           9   -0.725692    -0.72547 0.000515966
          10   -0.724729   -0.725396  0.00046966
          11   -0.725841   -0.725436 0.000428703
          12   -0.726686   -0.725541 0.000405422
          13   -0.730093   -0.725891  0.00050322
          14   -0.724273   -0.725775 0.000480357
          15   -0.727802    -0.72591 0.000466957
          16    -0.72501   -0.725854 0.000441152
          17   -0.725859   -0.725854 0.000415202
          18   -0.724877     -0.7258 0.000395671
          19   -0.725761   -0.725798 0.000374851
          20   -0.724913   -0.725754 0.000358712
