#   N_BLOCK:  ACCEPTANCE:
           1    0.273529
           2    0.272084
           3    0.272533
           4     0.27244
           5    0.272557
           6    0.272854
           7    0.272499
           8    0.272757
           9    0.272788
          10    0.272739
          11    0.272729
          12    0.272559
          13    0.272309
          14    0.272434
          15    0.272335
          16    0.272298
          17    0.272295
          18    0.272317
          19    0.272308
          20    0.272326
