#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      290.86      290.86           0
           2     323.918     307.389      11.688
           3     307.871      307.55     7.79312
           4      305.43      307.02     5.86283
           5      293.69     304.354     5.26158
           6     289.298     301.845     4.94694
           7      327.92      305.57     5.46567
           8     297.177     304.521     4.88211
           9     305.182     304.594     4.34021
          10     300.343     304.169     3.92695
          11     299.721     303.765     3.59071
          12     317.089     304.875      3.4589
          13     310.898     305.338      3.2237
          14     300.789     305.013     3.00977
          15     304.818         305     2.80915
          16     290.994     304.125     2.76662
          17     297.137     303.714     2.63424
          18     304.887     303.779      2.4887
          19     288.446     302.972     2.48512
          20     312.301     303.439     2.40424
