#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      734.07      734.07           0
           2     725.532     729.801     3.01845
           3     727.656     729.086     2.09527
           4     727.991     728.812     1.58924
           5      730.02     729.054     1.28961
           6     729.428     729.116     1.07618
           7     730.183     729.269    0.933178
           8     726.451     728.916    0.880504
           9     728.285     728.846    0.785461
          10     730.643     729.026    0.727163
          11     733.521     729.435    0.767336
          12      728.88     729.388    0.704781
          13     733.338     729.692     0.71305
          14     725.454     729.389    0.723539
          15     731.742     729.546     0.69209
          16      731.73     729.683    0.662155
          17     726.432     729.491    0.650234
          18     734.149      729.75    0.663608
          19     727.933     729.655    0.635537
          20     729.235     729.634    0.604106
