#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     213.676     213.676           0
           2     204.965      209.32     3.07976
           3      204.38     207.674     2.45428
           4     205.521     207.136     1.89878
           5      202.67     206.242     1.71625
           6     210.451     206.944     1.56703
           7     208.407     207.153     1.35703
           8      203.33     206.675     1.26874
           9     208.963     206.929     1.15295
          10     214.378     207.674     1.25542
          11     209.007     207.795     1.14712
          12     211.749     208.125     1.09783
          13     210.652     208.319     1.03045
          14     196.427      207.47     1.25922
          15      202.81     207.159     1.21298
          16     211.515     207.431     1.16732
          17     206.918     207.401     1.09905
          18     201.612      207.08     1.08403
          19      198.31     206.618     1.12094
          20     211.962     206.885     1.09628
