#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.669082   -0.669082           0
           2   -0.664924   -0.667003   0.0014704
           3   -0.666062   -0.666689  0.00101319
           4   -0.666268   -0.666584 0.000765337
           5   -0.667289   -0.666725 0.000625114
           6   -0.666765   -0.666732 0.000520964
           7   -0.667133   -0.666789 0.000449687
           8   -0.665454   -0.666622  0.00042331
           9   -0.666222   -0.666578 0.000378608
          10   -0.667486   -0.666668 0.000351476
          11   -0.668479   -0.666833 0.000355993
          12   -0.666592   -0.666813 0.000326895
          13   -0.668691   -0.666957 0.000332156
          14   -0.665054   -0.666821 0.000335114
          15   -0.668041   -0.666903 0.000322491
          16   -0.667993   -0.666971 0.000309448
          17   -0.665495   -0.666884 0.000303184
          18   -0.668944   -0.666999  0.00030718
          19   -0.666228   -0.666958 0.000293678
          20   -0.666687   -0.666944 0.000279307
