#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      4.3262      4.3262           0
           2      3.7289     4.02755    0.211177
           3      3.3543     3.80313    0.231075
           4       3.651      3.7651    0.176408
           5       3.642     3.74048    0.142834
           6      3.8919     3.76572    0.121238
           7      4.4328     3.86101     0.13632
           8      3.3948     3.80274    0.131147
           9      3.7139     3.79287    0.116946
          10       3.765     3.79008    0.105284
          11      3.3581     3.75081    0.102776
          12      3.2691     3.71067     0.10175
          13      4.1087     3.74128   0.0984216
          14       3.264     3.70719   0.0971166
          15      3.6834     3.70561   0.0906551
          16      3.8721     3.71601   0.0855843
          17      4.2468     3.74724    0.086057
          18        3.51     3.73406   0.0822791
          19      3.8799     3.74173   0.0783059
          20      4.1864     3.76397   0.0774827
