#   N_BLOCK:  ACCEPTANCE:
           1    0.328365
           2    0.329761
           3    0.330192
           4    0.330773
           5    0.330593
           6    0.330491
           7    0.330492
           8    0.330637
           9     0.33074
          10    0.330557
          11    0.330401
          12    0.330464
          13    0.330321
          14    0.330429
          15    0.330354
          16    0.330311
          17    0.330415
          18     0.33028
          19    0.330283
          20    0.330293
