#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.2614      0.2614           0
           2      0.1883     0.22485   0.0258448
           3     -0.0019    0.149267   0.0640736
           4     -0.4436     0.00105     0.13706
           5     -0.0992      -0.019    0.111105
           6      -0.347  -0.0736667     0.10518
           7      0.1515     -0.0415   0.0949455
           8      0.5968   0.0382875    0.111679
           9      0.4174   0.0804111    0.106919
          10      -0.268     0.04557    0.101746
          11     -0.4996 -0.00399091    0.103868
          12      0.2307   0.0155667   0.0970361
          13      0.4021      0.0453   0.0940169
          14      0.6657   0.0896143   0.0971855
          15     -0.1553   0.0732867   0.0920678
          16      0.4021   0.0938375   0.0885775
          17     -0.3368   0.0685059   0.0869138
          18      0.1562   0.0733778   0.0822217
          19     -0.0021   0.0694053   0.0779901
          20      -0.046    0.063635   0.0743038
