#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     147.534     147.534           0
           2     148.727      148.13     0.42189
           3     144.586     146.949     1.00486
           4     148.168     147.254    0.798548
           5     150.745     147.952    0.893383
           6     151.459     148.537     0.91599
           7     155.491      149.53      1.2093
           8      153.43     150.017     1.15221
           9      148.31     149.828     1.03969
          10     143.215     149.167     1.12655
          11     147.307     148.997     1.03674
          12     150.596     149.131     0.95886
          13     142.482     148.619     1.01233
          14     148.454     148.607    0.940094
          15     149.244      148.65    0.878378
          16     144.896     148.415     0.85424
          17     150.508     148.538    0.812812
          18     149.826      148.61    0.770796
          19     141.595     148.241    0.813861
          20     145.785     148.118    0.782376
