#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     15.8626     15.8626           0
           2     15.7405     15.8015   0.0431678
           3     15.7068     15.7699   0.0386274
           4     15.5083     15.7045   0.0636352
           5     15.8538     15.7344   0.0574853
           6     15.7956     15.7446   0.0488019
           7     15.7687      15.748    0.041952
           8     16.2162     15.8066   0.0659142
           9     16.0254     15.8309   0.0629148
          10      15.739     15.8217   0.0572905
          11     15.8454     15.8238   0.0521228
          12     15.6644     15.8105   0.0494437
          13     15.7063     15.8025   0.0462856
          14     15.9653     15.8142    0.044416
          15     16.0202     15.8279   0.0435279
          16     15.8199     15.8274   0.0408103
          17     15.9655     15.8355   0.0392095
          18     15.9952     15.8444   0.0380218
          19      15.794     15.8417   0.0361129
          20     15.5071      15.825   0.0379862
