#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     15.1779     15.1779           0
           2     13.5614     14.3697    0.571519
           3     14.4322     14.3905    0.381393
           4     16.0011     14.7932    0.451018
           5     15.8492     15.0044    0.407277
           6     15.0973     15.0198    0.339692
           7     12.6154     14.6764    0.431171
           8     11.2627     14.2496    0.549232
           9     16.2278     14.4694    0.530365
          10     12.4918     14.2717    0.512876
          11     14.0884      14.255    0.466522
          12     13.1072     14.1594    0.437341
          13     13.2704      14.091     0.40901
          14     13.0832      14.019    0.386078
          15     13.1168     13.9589    0.364994
          16     16.6415     14.1265    0.378739
          17      13.088     14.0654    0.361354
          18     15.7241     14.1576    0.352832
          19     15.5038     14.2284    0.341302
          20     14.3159     14.2328    0.324265
