#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.863431   -0.863431           0
           2   -0.861789    -0.86261 0.000580747
           3   -0.859073   -0.861431  0.00103758
           4    -0.86342   -0.861928 0.000889453
           5   -0.864064   -0.862355 0.000807615
           6   -0.864267   -0.862674 0.000733165
           7   -0.861098   -0.862449 0.000662085
           8   -0.855677   -0.861602 0.000981103
           9   -0.862675   -0.861722 0.000879302
          10   -0.860481   -0.861597 0.000800079
          11   -0.860395   -0.861488  0.00073477
          12   -0.861487   -0.861488 0.000673539
          13   -0.861432   -0.861484 0.000621742
          14   -0.857693   -0.861213 0.000633547
          15   -0.858227   -0.861014 0.000621805
          16   -0.868233   -0.861465 0.000728458
          17   -0.858023   -0.861263 0.000713189
          18   -0.865222   -0.861483 0.000706669
          19   -0.867742   -0.861812 0.000742295
          20    -0.86145   -0.861794 0.000705401
