#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     2935.85     2935.85           0
           2      2924.6     2930.23     3.97795
           3     2908.38     2922.95     6.51122
           4     2936.41     2926.31     5.68728
           5     2940.84     2929.22     5.24016
           6     2943.43     2931.59      4.8725
           7     2919.13     2929.81     4.48953
           8     2882.94     2923.95     6.74254
           9     2931.55     2924.79     6.04601
          10     2915.88      2923.9     5.50666
          11     2915.35     2923.12      5.0606
          12     2922.11     2923.04      4.6396
          13     2922.75     2923.02     4.28276
          14     2898.32     2921.25     4.32489
          15     2899.68     2919.82     4.26905
          16     2968.75     2922.87     4.97849
          17     2900.28     2921.54     4.85985
          18     2949.33     2923.09     4.82875
          19     2964.55     2925.27      5.0436
          20     2922.78     2925.15     4.79296
