#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     932.588     932.588           0
           2      889.09     910.839     15.3788
           3     933.648     918.442     11.9855
           4     940.373     923.925     10.1661
           5     973.136     933.767      11.985
           6     1020.57     948.234     16.5578
           7     923.086     944.641     14.5769
           8       824.3     929.599     18.9916
           9     956.556     932.594      17.116
          10     902.141     929.549      15.673
          11     911.802     927.935     14.3309
          12     912.227     926.626     13.1963
          13     922.472     926.307     12.1851
          14     923.777     926.126     11.3161
          15     933.832      926.64     10.5733
          16        1014       932.1     11.2342
          17     901.624     930.307     10.7155
          18     985.969     933.399     10.5569
          19     1014.59     937.673     10.8317
          20     958.054     938.692     10.3379
