#   N_BLOCK:  ACCEPTANCE:
           1    0.139792
           2        0.14
           3    0.141271
           4    0.140791
           5    0.140469
           6    0.140131
           7    0.140211
           8    0.140857
           9    0.140857
          10    0.140971
          11    0.141097
          12    0.141025
          13    0.140995
          14    0.141234
          15     0.14138
          16    0.140947
          17    0.141078
          18    0.140924
          19    0.140619
          20    0.140638
