#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.494412   -0.494412           0
           2     -0.4908   -0.492606  0.00127703
           3   -0.494704   -0.493305  0.00102511
           4   -0.494124    -0.49351    0.000789
           5   -0.494084   -0.493625 0.000639497
           6    -0.49282   -0.493491 0.000546801
           7   -0.494256     -0.4936 0.000479492
           8   -0.492924   -0.493516 0.000426936
           9   -0.492516   -0.493404 0.000393678
          10   -0.491992   -0.493263 0.000378802
          11   -0.492984   -0.493238 0.000345215
          12   -0.495232   -0.493404 0.000354194
          13   -0.494776    -0.49351 0.000342311
          14   -0.491304   -0.493352 0.000352251
          15     -0.4929   -0.493322 0.000330054
          16    -0.49376   -0.493349  0.00031056
          17   -0.492668   -0.493309 0.000294865
          18   -0.493868    -0.49334 0.000280114
          19   -0.493768   -0.493363 0.000266274
          20   -0.492168   -0.493303 0.000259575
