#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.1497      0.1497           0
           2      0.0704     0.11005   0.0280368
           3      0.1458    0.121967   0.0210721
           4     -0.0568    0.077275   0.0418064
           5       -0.17     0.02782   0.0554546
           6     -0.3196  -0.0300833   0.0702108
           7     -0.0252  -0.0293857   0.0601842
           8      0.2964   0.0113375   0.0649945
           9      0.5051      0.0662   0.0775446
          10      0.2393     0.08351   0.0716961
          11       -0.35      0.0441   0.0752341
          12     -0.0724   0.0343917   0.0695881
          13      0.2785   0.0531692   0.0667206
          14      0.1113   0.0573214   0.0620839
          15     -0.3119   0.0327067   0.0626348
          16      0.4689   0.0599688   0.0643803
          17      0.1443   0.0649294    0.060784
          18      -0.011   0.0607111   0.0575533
          19     -0.0331   0.0557737   0.0547356
          20     -0.2319     0.04139   0.0538555
