#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.729694   -0.729694           0
           2   -0.725691   -0.727693   0.0014155
           3   -0.728185   -0.727857 0.000953147
           4   -0.725328   -0.727225 0.000900452
           5   -0.725381   -0.726856 0.000792231
           6   -0.724216   -0.726416 0.000772741
           7   -0.725545   -0.726292 0.000672293
           8   -0.725497   -0.726192  0.00059554
           9   -0.722916   -0.725828 0.000630909
          10   -0.723038   -0.725549  0.00062647
          11   -0.724239    -0.72543 0.000580733
          12   -0.725117   -0.725404 0.000532927
          13   -0.725918   -0.725444 0.000493395
          14   -0.726987   -0.725554 0.000470316
          15   -0.723802   -0.725437 0.000453224
          16   -0.726065   -0.725476 0.000426591
          17   -0.723983   -0.725388 0.000410444
          18   -0.725496   -0.725394 0.000387685
          19   -0.726532   -0.725454 0.000371872
          20   -0.723687   -0.725366 0.000363622
