#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     315.261     315.261           0
           2     320.131     317.696     1.72181
           3     321.297     318.897     1.50922
           4     282.658     309.837     7.92718
           5     294.533     306.776     6.90738
           6     303.981      306.31     5.77184
           7     288.769     303.804     5.46425
           8     317.906     305.567     5.05754
           9     297.182     304.635     4.58061
          10     281.462     302.318      4.6721
          11     291.345      301.32     4.35257
          12     311.499     302.169     4.07167
          13     302.761     302.214     3.75872
          14     310.056     302.774     3.53172
          15     286.456     301.687     3.45978
          16     300.618      301.62     3.24419
          17      301.02     301.584     3.05354
          18     299.084     301.446     2.88706
          19       308.7     301.827     2.76024
          20     289.673      301.22     2.68829
