#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     1120.47     1120.47           0
           2     1108.37     1114.42     4.27605
           3     1115.46     1114.77      2.8648
           4     1106.68     1112.74      2.7718
           5     1107.06     1111.61     2.43928
           6     1104.22     1110.38     2.32319
           7     1107.08     1109.91     2.03835
           8     1107.73     1109.63     1.80159
           9     1099.95     1108.56     1.89546
          10     1099.89     1107.69     1.89379
          11     1102.79     1107.25     1.77325
          12     1106.26     1107.16     1.62737
          13     1109.04     1107.31      1.5086
          14     1112.52     1107.68     1.44608
          15     1102.17     1107.31     1.39563
          16     1109.02     1107.42     1.31246
          17     1102.84     1107.15     1.26257
          18     1107.93     1107.19     1.19318
          19     1110.67     1107.38     1.14435
          20     1101.52     1107.08     1.12395
