#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -0.0381     -0.0381           0
           2      0.0711      0.0165    0.038608
           3     -0.0602 -0.00906667   0.0331398
           4     -0.2487   -0.068975   0.0575284
           5      0.4704      0.0389      0.1069
           6     -0.0723   0.0203667    0.090676
           7     -0.4082  -0.0408571   0.0961958
           8      0.2929   0.0008625   0.0927781
           9     -0.1456  -0.0154111   0.0838845
          10     -0.1235    -0.02622   0.0761893
          11      0.1042  -0.0143636   0.0701794
          12      0.1606 0.000216667   0.0658283
          13     -0.0958 -0.00716923   0.0611775
          14       0.062 -0.00222857   0.0570069
          15     -0.2512  -0.0188267   0.0555702
          16      0.3335  0.00319375   0.0562912
          17      0.1084  0.00938235   0.0533191
          18      0.4838   0.0357389   0.0564968
          19     -0.1227      0.0274   0.0541352
          20     -0.1927    0.016395   0.0525351
