#   N_BLOCK:  ACCEPTANCE:
           1     0.47002
           2    0.471432
           3    0.471529
           4    0.471517
           5    0.471644
           6    0.471874
           7    0.471733
           8    0.471751
           9    0.472071
          10    0.472048
          11    0.472053
          12       0.472
          13    0.472095
          14     0.47206
          15    0.472084
          16    0.471974
          17    0.471931
          18    0.471876
          19    0.471775
          20    0.471732
