#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     12.4471     12.4471           0
           2      12.394     12.4205   0.0187905
           3     12.3285     12.3899   0.0280005
           4     12.2403     12.3525   0.0385938
           5     12.3777     12.3575   0.0312027
           6      12.452     12.3733   0.0297142
           7     12.1533     12.3418   0.0386679
           8     12.6175     12.3763   0.0467294
           9     12.2544     12.3628   0.0434549
          10     12.4317     12.3697   0.0396531
          11     12.3818     12.3708   0.0360637
          12     12.7746     12.4044   0.0461636
          13      12.541     12.4149   0.0437918
          14     12.6387     12.4309   0.0434833
          15     12.3905     12.4282   0.0406676
          16     12.4484     12.4295   0.0381454
          17     12.2459     12.4187   0.0373989
          18      12.263       12.41    0.036308
          19     12.4957     12.4145   0.0346757
          20     12.4787     12.4177   0.0330899
