#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     94.1302     94.1302           0
           2     94.4187     94.2745     0.10199
           3     94.5214     94.3568   0.0956039
           4     94.3152     94.3464   0.0722666
           5     96.2734     94.7318    0.349532
           6     91.6808     94.2233    0.548009
           7     92.9986     94.0483    0.496866
           8     94.1218     94.0575    0.434843
           9     94.9828     94.1603    0.398496
          10     94.2048     94.1648    0.358671
          11     95.7238     94.3065    0.352957
          12     94.4574     94.3191    0.323768
          13     95.4842     94.4087    0.311021
          14     96.6901     94.5717    0.328735
          15     94.9318     94.5957    0.307695
          16     95.2321     94.6354    0.291024
          17     93.7416     94.5829    0.278613
          18     96.0106     94.6622    0.274193
          19      97.726     94.8234    0.303497
          20     95.7792     94.8712     0.29206
