#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529564   -0.529564           0
           2   -0.526396    -0.52798  0.00112006
           3   -0.527904   -0.527955 0.000746991
           4   -0.530228   -0.528523 0.000745738
           5   -0.528628   -0.528544 0.000596886
           6     -0.5265   -0.528203  0.00058662
           7   -0.529704   -0.528418 0.000540573
           8   -0.528184   -0.528389  0.00047379
           9   -0.525568   -0.528075 0.000514455
          10   -0.527296   -0.527997 0.000468872
          11   -0.526992   -0.527906 0.000435062
          12   -0.527792   -0.527896  0.00039891
          13   -0.526316   -0.527775 0.000386303
          14   -0.529116   -0.527871 0.000370399
          15   -0.527656   -0.527856 0.000345982
          16    -0.52942   -0.527954  0.00033788
          17   -0.529204   -0.528028 0.000325907
          18   -0.529832   -0.528128 0.000322852
          19   -0.530468   -0.528251 0.000328515
          20   -0.529512   -0.528314 0.000318083
