#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     19.9596     19.9596           0
           2     19.7275     19.8436   0.0820536
           3     19.9467     19.8779   0.0614792
           4     19.6469     19.8202   0.0680252
           5     19.6355     19.7832   0.0636654
           6     20.1815     19.8496   0.0805331
           7     19.7102     19.8297   0.0714471
           8     19.7024     19.8138   0.0642632
           9     19.9519     19.8291   0.0589271
          10     19.4918     19.7954   0.0619431
          11     19.8501     19.8004   0.0565113
          12     19.9807     19.8154   0.0537631
          13      19.904     19.8222   0.0500575
          14     19.7228     19.8151   0.0469826
          15     19.7081      19.808    0.044389
          16      20.167     19.8304   0.0469455
          17     20.0173     19.8414   0.0454528
          18     20.4263     19.8739   0.0532923
          19     20.1565     19.8888   0.0525225
          20     20.2836     19.9085   0.0534783
