#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720592   -0.720592           0
           2   -0.722408     -0.7215 0.000642053
           3   -0.720464   -0.721155  0.00051256
           4   -0.721388   -0.721213 0.000387725
           5   -0.722356   -0.721442 0.000371508
           6   -0.718668   -0.720979 0.000523375
           7   -0.721812   -0.721098 0.000461927
           8   -0.718856   -0.720818 0.000481774
           9    -0.71952   -0.720674 0.000449313
          10   -0.720468   -0.720653 0.000404852
          11   -0.721224   -0.720705 0.000371358
          12   -0.721008    -0.72073 0.000341268
          13    -0.72326   -0.720925 0.000366317
          14   -0.719376   -0.720814 0.000356468
          15    -0.72192   -0.720888  0.00034024
          16   -0.722068   -0.720962  0.00032687
          17   -0.718892    -0.72084 0.000329537
          18   -0.719388   -0.720759 0.000320951
          19    -0.72248    -0.72085 0.000316578
          20   -0.720564   -0.720836 0.000301072
