#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      -0.553      -0.553           0
           2      0.0098     -0.2716     0.19898
           3      0.7344   0.0637333    0.304241
           4      0.1998     0.09775    0.230074
           5     -0.8642    -0.09464     0.25197
           6      0.4071  -0.0110167    0.223421
           7     -0.2185  -0.0406571     0.19346
           8      0.3101   0.0031875    0.174175
           9     -0.4684  -0.0492111    0.162513
          10     -0.4659    -0.09088     0.15151
          11      1.5443   0.0577727    0.197636
          12      0.4587   0.0911833    0.183969
          13     -0.2366   0.0659692    0.171536
          14     -0.8864 -0.00205714    0.172245
          15     -0.2349    -0.01758     0.16146
          16     -0.2513  -0.0321875    0.152028
          17       0.461 -0.00317647    0.145827
          18      0.6901   0.0353389    0.142721
          19     -0.6345 8.42105e-05    0.139496
          20      0.1134     0.00575    0.132636
