#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     284.288     284.288           0
           2     290.484     287.386     2.19062
           3     288.883     287.885     1.51612
           4     272.221     283.969     3.57691
           5     264.662     280.108     4.48515
           6     277.607     279.691     3.75694
           7     280.511     279.808     3.22206
           8     280.232     279.861     2.81974
           9     286.274     280.574      2.5949
          10      278.57     280.373     2.34313
          11     282.908     280.604     2.14142
          12     270.724      279.78     2.11531
          13     284.226     280.122     1.98005
          14     285.248     280.488     1.87216
          15     273.158         280     1.81001
          16     278.354     279.897     1.69981
          17     274.852       279.6     1.62551
          18     277.472     279.482      1.5395
          19     294.914     280.294     1.65896
          20     284.105     280.485     1.58692
