#   N_BLOCK:  ACCEPTANCE:
           1    0.279581
           2    0.278309
           3    0.278582
           4    0.278803
           5    0.278795
           6    0.279094
           7    0.279048
           8    0.279361
           9    0.279587
          10    0.279575
          11    0.279514
          12     0.27947
          13    0.279278
          14    0.279355
          15    0.279286
          16    0.279199
          17    0.279282
          18    0.279363
          19    0.279258
          20    0.279296
