#     GEN:            L2:          <L2>:
         1        2151.91        2715.86
         2        2039.77        2516.03
         3        1933.22        2354.35
         4        1792.28        2193.67
         5        1730.53        2058.57
         6        1570.87        1937.56
         7        1554.53        1835.65
         8         1469.7        1746.75
         9         1421.3        1663.01
        10        1336.19        1591.81
        11        1315.86         1543.9
        12        1277.17        1484.93
        13        1216.32        1416.82
        14        1134.31        1348.75
        15        1097.88        1286.55
        16        1035.53        1229.03
        17        989.408        1178.41
        18        940.448        1119.79
        19        909.578        1059.68
        20        839.962        1005.95
        21         811.48        954.642
        22        789.231        903.918
        23        759.301        862.251
        24          739.3        831.353
        25         716.45        804.051
        26        686.523        779.929
        27        649.906        763.106
        28        628.887        742.133
        29        581.685        713.749
        30        557.037        684.118
        31        541.442        653.317
        32        518.216        620.021
        33         495.77        592.122
        34        490.551        564.771
        35        486.914        542.918
        36        482.429        524.112
        37        468.319         513.18
        38        457.453        504.055
        39        449.709        496.439
        40        432.783         486.83
        41         424.92        475.939
        42        419.946        464.477
        43        404.494        451.855
        44        391.338        442.144
        45        375.832        434.534
        46        362.601        423.995
        47         350.17         413.16
        48        341.506         401.87
        49        332.057        386.075
        50        315.114        373.752
        51        309.852         360.65
        52        301.556        353.175
        53        296.294        348.532
        54        289.446        342.289
        55        281.594        335.794
        56        281.594        324.553
        57        275.084        311.888
        58        270.537        302.304
        59        266.955        292.058
        60        258.116        286.683
        61        251.869        280.966
        62        249.662        275.469
        63        237.132        268.304
        64        236.593        260.336
        65        232.219         254.39
        66        228.256        248.229
        67        222.804         242.85
        68        222.265        238.212
        69        214.581        233.124
        70         211.07        229.491
        71        197.297        226.656
        72        189.625        221.195
        73         182.11        213.685
        74        181.443        204.976
        75        177.393        197.146
        76        175.283         189.96
        77        171.233        186.092
        78        167.151        181.998
        79        164.856        179.083
        80         158.87        175.985
        81        158.016        173.942
        82        156.988        171.318
        83        155.927        166.929
        84        152.888        163.543
        85        151.463        162.071
        86        151.265         160.47
        87        147.137        160.045
        88         146.26        160.323
        89        145.863        165.771
        90        142.405        168.189
        91        141.764        161.521
        92        140.353        159.015
        93        140.353        156.003
        94        136.729         151.08
        95        136.254        148.647
        96        135.136        150.028
        97        134.443        161.399
        98        134.043        171.594
        99        133.256        173.532
       100         130.57        172.786
       101        128.708        166.384
       102        127.461        153.236
       103         127.43        142.551
       104        126.488        136.556
       105        121.906        133.082
       106        120.103        130.806
       107        119.131        128.969
       108          116.9        126.152
       109        116.869        124.339
       110        116.095         121.82
       111        114.935        120.758
       112        111.367        119.988
       113        108.695        117.839
       114        106.845        116.088
       115        105.668          113.7
       116        103.818        110.772
       117        103.818        108.954
       118        102.364        107.267
       119        97.3186        105.734
       120        97.2876        105.041
       121        95.1498        105.413
       122        95.1188        104.832
       123        94.6525         102.86
       124        93.2872        101.195
       125        92.1116        98.9552
       126        90.9495        96.4285
       127        90.1615        94.4822
       128        88.6194        93.0047
       129        88.6194        91.8184
       130        88.6099        91.1931
       131        87.8441        90.6312
       132        87.8346         90.082
       133        86.0725        89.9773
       134        85.6194        89.9658
       135        85.0864        90.0663
       136        84.6474        90.1215
       137        84.5742        89.0428
       138        83.7118        87.4859
       139        83.1144        86.6651
       140        81.9563        86.2352
       141        81.0921        85.7034
       142        79.2217        84.7786
       143        79.1486        83.1155
       144        78.6662        82.0376
       145        78.1094        81.5423
       146        77.4461        81.8696
       147        77.2754        80.5907
       148         76.403        79.8294
       149        75.4649        79.7566
       150        74.8025         79.876
       151        74.3292        79.4376
       152        73.9313        78.1718
       153        73.1044        77.8444
       154        72.6311        76.3296
       155        72.6215        75.5637
       156        71.2486        74.3309
       157        71.2391        73.8564
       158        69.9834        73.2684
       159         69.809        72.4783
       160         69.529        72.0405
       161         69.529        71.1253
       162        69.3789        70.4439
       163        68.0988        70.3862
       164         68.069        70.4198
       165        67.9755        70.9108
       166        67.0113        71.8954
       167        67.0113        71.3846
       168        66.6772        71.0764
       169        66.4971        70.0699
       170         66.126         68.753
       171        65.3418        68.5888
       172        65.3418        67.9359
       173        65.2105         68.436
       174        64.6915        69.5076
       175        64.6915        70.2128
       176        64.4192        69.1234
       177        64.2946        67.2889
       178        64.0954        67.1712
       179        64.0954        66.2754
       180        62.7931        66.0762
       181        62.0229        66.1455
       182        62.0229        64.9253
       183        62.0229        65.6118
       184        62.0229          65.54
       185        61.7779        65.9365
       186        61.7779        64.8881
       187        61.2909        63.8236
       188        61.2909        62.8524
       189         60.919        62.5786
       190         60.919        62.0043
       191         60.919        62.2629
       192        60.3834        61.8807
       193        60.0002        61.9865
       194        60.0002        61.6046
       195        59.8305        61.1647
       196        59.8305        60.6555
       197        59.8305        60.4845
       198        59.3565        60.2211
       199        59.3565        60.3075
       200        59.3565        60.7979
       201        59.3565        60.0959
       202        59.2618        60.2094
       203        59.2618        59.7437
       204        59.2618        59.7327
       205        59.2618         59.666
       206        59.2618        60.0792
       207        59.0193         59.772
       208        59.0193        59.5692
       209        59.0193        59.8946
       210        59.0193        59.7329
       211        59.0193        59.6164
       212        59.0193         59.345
       213        59.0193        59.3173
       214        59.0193        59.2097
       215        58.5776        59.4686
       216        58.5776        59.6107
       217        58.5776        60.0108
       218        58.5776        63.4153
       219        58.5776        72.2729
       220        58.5776        84.2945
       221        58.5776         87.151
       222        58.5776         82.076
       223        58.5776        71.2155
       224        58.5776        65.6662
       225        58.4937        63.1342
       226        58.4048        61.5897
       227        58.1979        60.5679
       228        58.0251        60.0059
       229        58.0251        59.4622
       230        58.0251        59.3377
       231        58.0251        59.1978
       232        58.0251        58.7569
       233        57.9594        58.6814
       234        57.3302        58.4633
       235        57.3302        58.4571
       236        57.3302        58.1234
       237        57.3302        57.8621
       238        57.3302        57.8894
       239        57.3302        57.6738
       240        57.3302         57.863
       241        57.0638        57.7589
       242        57.0638         57.502
       243        57.0638        57.3991
       244        57.0638        57.3495
       245        56.9722        57.3751
       246        56.9722        57.2605
       247        56.9722        57.5642
       248        56.9722        57.6188
       249        56.9722        57.4827
       250        56.9722        57.4269
       251        56.9722        57.2991
       252        56.9722        57.3124
       253        56.9722        57.1805
       254        56.9722        57.1958
