#     GEN:            L2:          <L2>:
       270        63.1799        86.2514
       271        63.1799        93.1147
       272        63.1799        95.9164
       273        63.1799        91.1192
       274        63.1799        83.3862
       275        63.1799        73.9976
       276        63.1799        68.3692
       277        63.1799        66.8788
       278        63.1799        65.5026
       279        63.1799        64.4302
       280        63.1799        64.1911
       281        63.1799        63.7308
       282        63.1799        63.7252
       283        63.1799        63.9241
       284        63.1799        63.6274
       285        63.1799         63.551
       286        63.1799        63.4118
       287        63.1799         63.416
       288        63.1799        63.1844
       289        62.7726        63.1986
       290        62.7726        63.2922
       291        62.7726         63.261
       292        62.7726        63.3511
       293        62.7726        63.0885
       294        62.7726        63.2224
       295        62.7726        63.3242
       296        62.7726        63.1246
       297        62.7726        63.1062
       298        62.7726        63.0515
       299        62.7726        63.0823
       300        62.7726        63.2112
       301        62.7726        63.3195
       302        62.0085        63.0735
       303        62.0085        62.8357
       304        62.0085        63.1862
       305        62.0085        62.8365
       306        62.0085        62.6226
       307        62.0085         62.821
       308        62.0085        62.9903
       309        62.0085        62.7487
       310        62.0085        62.7302
       311        62.0085        62.3617
       312        62.0085        62.3562
       313        62.0085        62.3708
       314        62.0085        62.4256
       315        62.0085        62.6085
       316        62.0085        62.4338
       317        62.0085        63.0493
       318        62.0085         63.025
       319        62.0085        62.9643
       320        61.9604        62.6077
       321        61.9604        62.8318
       322        61.9604        62.2637
       323        61.9604        62.1524
       324        61.9604        62.2979
       325        61.9604        62.4031
       326        61.9604         62.243
       327        61.9604        62.2848
       328        61.9604        62.0835
       329        61.9604        62.2602
       330        61.7981        62.6853
       331        61.7981        62.5446
       332        61.7981        62.4837
       333        61.7981        62.3664
       334        61.7981        61.9891
       335        61.7981          61.98
       336        61.7981        61.9875
       337        61.7981        62.5022
       338        61.7981        62.5365
       339        61.7981        62.8137
       340        61.7981        62.1348
       341        61.7981        62.0545
       342        61.7981         62.115
       343        61.7981        62.1135
       344        61.7981        62.1124
       345        61.7981        62.1119
       346        61.7981        62.2622
       347        61.7981        61.9016
       348        61.7981        61.9993
       349        61.7981        61.9553
       350        61.7981        61.8898
       351        61.7981        61.8275
       352        61.7981        61.9061
       353        61.7981        62.1043
       354        61.7981        62.2244
       355        61.7981        62.5924
       356        61.7981        62.1502
       357        61.7981        62.3284
       358        61.7981         62.167
       359        61.7981        62.2316
       360        61.7981        62.4065
       361        61.7981        62.2061
       362        61.7981         62.356
       363        61.7981        62.4935
       364        61.7981        62.2094
       365        61.7981        62.2114
       366        61.7981        62.2591
       367        61.7981        63.0282
       368        61.7981         62.672
       369        61.7981        62.5985
       370        61.7981        62.3237
       371        61.7981        62.0162
       372        61.7981        62.0845
       373        61.7981        62.4749
       374        61.7981        62.5096
       375        61.7981        62.2037
       376        61.7981        62.3138
       377        61.7981        61.9778
       378        61.7981        62.1219
       379        61.7981         62.677
       380        61.7981        62.5473
       381        61.7981        62.6721
       382        61.7981        62.5813
       383        61.7981        62.4262
       384        61.7981        62.3597
       385        61.7981        62.2069
       386        61.7981        62.0546
       387        61.7981        62.4506
       388        61.7981        62.0321
       389        61.7981        62.2162
       390        61.7981        62.2261
       391        61.7981        62.0774
       392        61.7981        62.4022
       393        61.7981        62.3717
       394        61.7981         62.309
       395        61.7981        62.2225
       396        61.7981        62.0816
       397        61.7981        62.2787
       398        61.7981        62.5887
       399        61.7981        62.3905
       400        61.7981        62.8851
       401        61.7981        62.7969
       402        61.7981        62.1812
       403        61.7981         62.119
       404        61.7981        62.0017
       405        61.7981        62.1381
       406        61.7981        62.0266
       407        61.7981        62.2173
       408        61.7981        62.2657
       409        61.7981        62.6452
       410        61.7981        62.3333
       411        61.7981        62.3578
       412        61.7981        62.1424
       413        61.7981        62.1874
       414        61.7981        62.2166
       415        61.7981        62.1747
       416        61.7981        62.1434
       417        61.7981        62.2017
       418        61.7981        62.0896
       419        61.7981        61.9792
       420        61.7981        61.8845
       421        61.7981        61.9425
       422        61.7981        62.0187
       423        61.7981         62.173
       424        61.7981        62.3712
       425        61.7981        62.2587
       426        61.7981        62.1433
       427        61.7981        62.1887
       428        61.7981        62.2723
       429        61.7981        62.4691
       430        61.7981        62.5298
       431        61.7981        62.4908
       432        61.7981        62.5523
       433        61.7981        62.3512
       434        61.7981        62.2799
       435        61.7981        62.0924
       436        61.7981        61.8687
       437        61.7981        62.0364
       438        61.7981        62.1574
       439        61.7981        62.5715
       440        61.7981        62.4927
       441        61.7981        62.3512
       442        61.7981        62.1019
       443        61.7981        62.0701
       444        61.7981        61.9438
       445        61.7981        61.9632
       446        61.7981        62.4993
       447        61.7981        62.1709
       448        61.7981        62.5768
       449        61.7981        62.5354
       450        61.7981        62.1228
       451        61.7981        61.9361
       452        61.7981        62.2018
       453        61.7981        61.9298
       454        61.7981        62.0097
       455        61.7981         62.208
       456        61.7981        62.2137
       457        61.7981        62.0184
       458        61.7981        61.9091
       459        61.7981         62.086
       460        61.7981        62.2915
       461        61.7981        62.7546
       462        61.7981        62.2947
       463        61.7981        62.2204
       464        61.7981        62.3396
       465        61.7981        62.0939
       466        61.7981        62.3141
       467        61.7981        62.2338
       468        61.7981        62.1732
       469        61.7981        62.1374
       470        61.7981        62.0601
       471        61.7981        62.4495
       472        61.7981        62.9325
       473        61.7981        62.5669
       474        61.7981        62.8324
       475        61.7981        63.0565
       476        61.7981        63.0566
       477        61.7981        63.1107
       478        61.7981        62.2279
       479        61.7981        62.2241
       480        61.7981        62.3071
       481        61.7981        62.4514
       482        61.7981        62.3688
       483        61.7981        62.1138
       484        61.7981        62.0835
       485        61.7981        61.9833
       486        61.7981        61.9698
       487        61.7981        61.9949
       488        61.7981        61.9822
       489        61.7981        62.0126
       490        61.7981        62.1649
       491        61.7981        62.0953
       492        61.7981        62.3233
       493        61.7981        62.1952
       494        61.7981        62.4461
       495        61.7981        62.1911
       496        61.7981        62.5711
       497        61.7981          62.56
       498        61.7981        62.1576
       499        61.7981        62.0863
       500        61.7981        62.2236
       501        61.7981        61.9684
       502        61.7981         61.959
       503        61.7981        61.9796
       504        61.7981        61.9206
       505        61.7981        62.1351
       506        61.7981        62.2367
       507        61.7981        62.2834
       508        61.3053        62.4595
       509        61.3053        62.0043
       510        61.3053        61.9152
       511        61.3053        61.8781
       512        61.3053        61.9033
       513        61.3053        61.7473
       514        61.3053        61.5759
       515        61.3053        61.6659
       516        61.3053        61.7611
       517        61.3053        61.6622
       518        61.3053        61.4361
       519        61.3053        61.5873
       520        61.3053        61.7749
       521        61.2457        61.9404
       522        61.2457        62.0489
       523        61.2457         62.442
       524        61.2457         62.937
       525        61.2457        63.4104
       526        61.2457        62.7782
       527        61.2457        62.1637
       528        61.2457        62.1696
       529        61.2457        61.4746
       530        61.2457        61.5273
       531        61.2457        61.5115
       532        61.2457        61.3215
       533        61.2457        61.4931
       534        61.2457        61.4235
       535        61.2457        61.8631
       536        61.2457        61.9758
       537        61.2457        61.8095
       538        61.2457        62.4331
       539        61.2457        61.6626
       540        61.2457        61.7852
       541        61.2457        62.1286
       542        61.2457        61.9757
       543        61.2457        62.2182
       544        61.2457        62.2965
       545        61.2457        62.0513
       546        61.2457         61.636
       547        61.2457        61.7355
       548        61.2457        61.6432
       549        61.2457         61.754
       550        61.2457        61.6411
       551        61.2457        61.4857
       552        61.2457        61.7137
       553        61.2457        61.6133
       554        61.2457        61.6648
       555        61.2457        61.5932
       556        61.2457        61.6057
       557        61.2457        61.4308
       558        61.2457        61.5731
       559        61.2457        61.4026
       560        61.2457        61.5462
       561        61.2457        61.5021
       562        61.2457        61.4546
       563        61.2457         61.701
       564        61.2457         62.196
       565        61.2457        62.2543
       566        61.2457        62.3138
       567        61.2457        61.9335
       568        61.2457        61.6209
       569        61.2457        61.6681
       570        61.2457        61.6658
       571        61.2457        61.4852
       572        61.2457        61.4622
       573        61.2457        61.5093
       574        61.2457        61.7459
       575        61.2457        62.0136
       576        61.2457        62.0286
       577        61.2457         61.679
       578        61.2457        61.7302
       579        61.2457        61.6021
       580        61.2457        61.7163
       581        61.2457        61.5903
       582        61.2457        61.3662
       583        61.2457        61.3468
       584        61.2457        61.3102
       585        61.2457         61.364
       586        61.2457         61.334
       587        61.2457        61.4305
       588        61.2457        62.0045
       589        61.2457        61.6566
