#   N_BLOCK:  ACCEPTANCE:
           1    0.430567
           2    0.431968
           3    0.431779
           4    0.431667
           5    0.431602
           6    0.431618
           7    0.431468
           8     0.43149
           9    0.431508
          10     0.43146
          11    0.431555
          12    0.431479
          13    0.431554
          14    0.431521
          15    0.431647
          16    0.431659
          17    0.431838
          18    0.431723
          19    0.431667
          20    0.431724
