#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.56946    -0.56946           0
           2   -0.565604   -0.567532   0.0013633
           3   -0.568984   -0.568016 0.000991066
           4   -0.569796   -0.568461 0.000837265
           5   -0.568532   -0.568475 0.000669932
           6   -0.568564    -0.56849  0.00055844
           7   -0.570284   -0.568746 0.000534245
           8   -0.567268   -0.568562 0.000498398
           9   -0.567904   -0.568488 0.000448343
          10   -0.567596   -0.568399 0.000412295
          11   -0.567008   -0.568273 0.000393734
          12   -0.570136   -0.568428 0.000390341
          13   -0.567328   -0.568343 0.000369372
          14   -0.569476   -0.568424 0.000351736
          15   -0.566804   -0.568316 0.000344474
          16   -0.568188   -0.568308 0.000323038
          17    -0.56594   -0.568169 0.000332721
          18   -0.571388   -0.568348 0.000359096
          19    -0.56928   -0.568397 0.000343532
          20   -0.566724   -0.568313 0.000336384
