#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -0.1286     -0.1286           0
           2      0.1959     0.03365    0.114728
           3      0.6813    0.249533    0.192147
           4      -0.168     0.14515    0.170117
           5     -0.4064     0.03484    0.168095
           6       0.496      0.1117    0.156669
           7      -0.246      0.0606    0.142377
           8     -0.5255  -0.0126625    0.142185
           9     -0.0023  -0.0115111    0.126392
          10     -0.1221    -0.02257    0.114235
          11     -0.2367  -0.0420364    0.105496
          12     -0.0923   -0.046225   0.0967877
          13      0.2621  -0.0225077   0.0922026
          14      0.0079  -0.0203357   0.0856423
          15      0.4656     0.01206   0.0858415
          16     -0.2613   -0.005025    0.082159
          17     -0.0216      -0.006   0.0773319
          18     -0.1102  -0.0117889   0.0732521
          19      0.2794  0.00353684   0.0709818
          20     -0.2301   -0.008145   0.0683872
