#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     117.362     117.362           0
           2     116.527     116.944    0.295297
           3     118.165     117.351     0.38603
           4     117.234     117.322     0.29064
           5     119.287     117.715    0.421523
           6     117.988      117.76    0.353726
           7     117.662     117.746    0.303474
           8     113.485     117.214    0.564604
           9     114.055     116.863     0.60113
          10     122.055     117.382    0.731656
          11     117.926     117.431     0.66681
          12     115.718     117.289    0.626347
          13     117.206     117.282    0.578198
          14     118.705     117.384    0.545762
          15     116.674     117.337    0.511428
          16     117.267     117.332    0.479483
          17     115.379     117.217    0.464838
          18     119.861     117.364    0.461641
          19     118.513     117.425    0.441285
          20     119.169     117.512    0.427752
