#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     14.0395     14.0395           0
           2      14.066     14.0527  0.00936191
           3      13.982     14.0292   0.0202294
           4     14.0407     14.0321    0.015378
           5     14.1115     14.0479   0.0187926
           6     14.0057     14.0409   0.0169291
           7     14.1431     14.0555   0.0198313
           8     14.0384     14.0534   0.0174678
           9     14.0236     14.0501   0.0158357
          10     14.2237     14.0674   0.0217864
          11      13.955     14.0572   0.0220743
          12     14.3607     14.0825   0.0315557
          13     14.3531     14.1033   0.0353338
          14     14.2796     14.1159   0.0349816
          15     13.8687     14.0994   0.0363256
          16     14.4478     14.1212   0.0400522
          17      14.032     14.1159   0.0380386
          18     13.8811     14.1029   0.0380968
          19     13.9391     14.0943   0.0370542
          20     14.4499     14.1121   0.0392355
