#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     209.493     209.493           0
           2     218.002     213.748      3.0082
           3     205.793     211.096     2.95103
           4     202.159     208.862     2.93989
           5     208.407     208.771     2.35332
           6     202.288      207.69     2.19513
           7     210.925     208.152     1.92956
           8     214.545     208.951     1.84641
           9     209.333     208.994     1.64174
          10     200.639     208.158     1.67672
          11     197.206     207.163     1.79574
          12     207.049     207.153     1.64612
          13     206.287     207.087     1.52085
          14     212.971     207.507     1.46914
          15      202.69     207.186     1.40585
          16     214.543     207.646     1.39115
          17     215.963     208.135      1.3927
          18      211.87     208.342      1.3307
          19      199.47     207.875      1.3401
          20     202.925     207.628     1.29575
