#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     739.524     739.524           0
           2     729.418     734.471     3.57279
           3     732.918     733.953     2.41909
           4     732.698     733.639     1.83454
           5     732.757     733.463      1.4761
           6     724.957     732.045     1.78543
           7      733.31     732.226     1.53948
           8     731.215       732.1     1.35221
           9      728.58     731.709     1.25724
          10     725.116     731.049     1.29286
          11     730.756     731.023      1.1756
          12     732.596     731.154     1.08493
          13     732.713     731.274     1.00808
          14     730.432     731.214    0.937864
          15      727.89     730.992    0.901126
          16      735.61     731.281     0.88982
          17      730.22     731.218    0.839663
          18     729.635      731.13    0.797608
          19     732.555     731.205    0.759147
          20      727.34     731.012    0.745386
