#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.671596   -0.671596           0
           2   -0.666821   -0.669208  0.00168837
           3   -0.668816   -0.669078  0.00113064
           4   -0.668465   -0.668925  0.00085828
           5   -0.668363   -0.668812 0.000693931
           6   -0.664619   -0.668113 0.000861091
           7   -0.668838   -0.668217  0.00074427
           8   -0.667608   -0.668141 0.000655118
           9   -0.666481   -0.667956  0.00060773
          10   -0.664956   -0.667656 0.000616589
          11   -0.667449   -0.667637 0.000560823
          12   -0.668654   -0.667722  0.00052045
          13   -0.668475    -0.66778 0.000483627
          14   -0.666978   -0.667723 0.000452462
          15   -0.666025    -0.66761 0.000436227
          16   -0.669784   -0.667745 0.000429609
          17   -0.667156   -0.667711 0.000405735
          18   -0.666934   -0.667668 0.000385482
          19   -0.668217   -0.667697 0.000366274
          20   -0.666014   -0.667612 0.000357495
