#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      4.9705      4.9705           0
           2      4.2519      4.6112    0.254063
           3        4.18     4.46747    0.206061
           4      3.7833     4.29643    0.214069
           5      3.8278      4.2027    0.190672
           6      3.6469     4.11007    0.179994
           7      4.0143     4.09639      0.1548
           8      4.8595     4.19177    0.162199
           9      4.0924     4.18073    0.144552
          10      3.8098     4.14364    0.134772
          11      3.4422     4.07987    0.136776
          12      4.2256     4.09202    0.125916
          13      4.3075     4.10859    0.117316
          14      4.8253     4.15979    0.119586
          15      3.3521     4.10594    0.123141
          16      4.3097     4.11867    0.116101
          17      3.6097     4.08874    0.113066
          18      3.6652     4.06521    0.109205
          19      3.9613     4.05974    0.103595
          20      3.7841     4.04595   0.0993274
