#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      10.037      10.037           0
           2     10.0198     10.0284  0.00605685
           3     9.88111     9.97931   0.0402938
           4     9.66998     9.90198   0.0734758
           5     9.70101     9.86178    0.068903
           6     9.96828     9.87953   0.0596613
           7     9.74037     9.85965   0.0543495
           8     10.0004     9.87724   0.0503225
           9     9.95628     9.88603   0.0454909
          10      9.9508      9.8925   0.0414004
          11     9.67649     9.87287   0.0420369
          12     9.86663     9.87235    0.038537
          13     9.79154     9.86613   0.0360704
          14     9.70257     9.85445   0.0353353
          15     9.93089     9.85954    0.033345
          16     9.87598     9.86057   0.0312768
          17     9.93815     9.86513   0.0297681
          18       10.02     9.87374   0.0293314
          19     9.93456     9.87694   0.0279618
          20     9.65997     9.86609   0.0285908
