#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462048   -0.462048           0
           2   -0.459364   -0.460706 0.000948937
           3   -0.462036   -0.461149 0.000728865
           4   -0.462236   -0.461421 0.000595128
           5   -0.463248   -0.461786 0.000577483
           6   -0.462088   -0.461837 0.000483419
           7   -0.461844   -0.461838  0.00041436
           8    -0.46188   -0.461843 0.000362599
           9   -0.461928   -0.461852 0.000322433
          10   -0.461496   -0.461817 0.000292153
          11   -0.460988   -0.461741 0.000275138
          12   -0.464152   -0.461942 0.000317174
          13   -0.464588   -0.462146 0.000352064
          14   -0.460216   -0.462008 0.000352873
          15   -0.461656   -0.461985 0.000330127
          16   -0.462972   -0.462046  0.00031521
          17   -0.462208   -0.462056 0.000296812
          18    -0.46174   -0.462038  0.00028084
          19   -0.462812   -0.462079 0.000268996
          20    -0.46122   -0.462036 0.000258952
