#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     67.4755     67.4755           0
           2     67.2322     67.3538   0.0860195
           3     67.3528     67.3535   0.0573471
           4      66.703     67.1909    0.147258
           5     66.3748     67.0277    0.187589
           6     67.1165     67.0425    0.156908
           7     67.1071     67.0517    0.134764
           8     67.0276     67.0487    0.117952
           9      68.711     67.2334    0.203265
          10     67.2761     67.2377    0.182984
          11     68.6066     67.3621    0.204332
          12     68.8586     67.4868    0.222124
          13     65.8988     67.3647     0.23625
          14     67.3725     67.3652    0.219376
          15     66.9776     67.3394    0.206267
          16     68.2026     67.3933    0.200307
          17     67.9475     67.4259    0.191159
          18     69.3308     67.5318    0.207777
          19      66.486     67.4767    0.204001
          20     67.3844     67.4721    0.193853
