#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0535      0.0535           0
           2     -0.1471     -0.0468   0.0709228
           3      0.2746   0.0603333   0.0994348
           4     -0.5455   -0.091125    0.150885
           5     -0.0513    -0.08316    0.120918
           6     -0.1019  -0.0862833    0.100805
           7      0.2993     -0.0312    0.100332
           8      0.2865   0.0085125   0.0953263
           9      0.3268   0.0438778   0.0910586
          10      -0.029     0.03659   0.0822438
          11      0.1043   0.0427455   0.0749971
          12     -0.0697    0.033375   0.0693303
          13      0.4764   0.0674538   0.0718865
          14     -0.1651   0.0508429   0.0686441
          15      0.7086   0.0946933   0.0768073
          16     -0.2378   0.0739125   0.0747652
          17      0.0031   0.0697471   0.0704832
          18     -0.0984   0.0604056   0.0671837
          19      0.2906   0.0725211   0.0647309
          20     -0.3189     0.05295    0.064385
