#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     11.1433     11.1433           0
           2     10.9998     11.0716   0.0507512
           3     11.0898     11.0776   0.0341978
           4     10.8455     11.0196   0.0564306
           5     11.0699     11.0297   0.0460309
           6     10.9242     11.0121   0.0415766
           7      11.213     11.0408   0.0444503
           8     11.0837     11.0461    0.039216
           9       11.13     11.0555   0.0359483
          10     11.0479     11.0547   0.0323613
          11     10.9841     11.0483     0.03005
          12     11.2012      11.061   0.0301253
          13     11.1296     11.0663    0.028266
          14     11.1443     11.0719   0.0267908
          15     11.1439     11.0767   0.0254319
          16     10.9379      11.068   0.0252777
          17     11.0055     11.0643   0.0240567
          18     10.8766     11.0539    0.024879
          19     11.1292     11.0579    0.023883
          20     11.1806      11.064   0.0234642
