#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     81.0451     81.0451           0
           2     79.6609      80.353    0.489394
           3      80.203      80.303    0.328805
           4     80.0211     80.2325    0.254045
           5     79.8924     80.1645    0.212146
           6     79.2875     80.0183    0.221494
           7     78.0704       79.74    0.320031
           8     80.2849     79.8081    0.287182
           9      81.811     80.0307    0.330433
          10     78.7457     79.9022    0.321405
          11     79.2619      79.844     0.29741
          12     81.3865     79.9725    0.299116
          13     81.0785     80.0576    0.287952
          14     79.1984     79.9962    0.273846
          15     79.1868     79.9423    0.260852
          16     80.2474     79.9613    0.245245
          17      79.316     79.9234    0.233738
          18     80.1803     79.9377    0.221188
          19     80.4238     79.9632    0.211021
          20     80.7499     80.0026    0.204103
