#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.493988   -0.493988           0
           2   -0.493524   -0.493756 0.000164049
           3    -0.49232   -0.493277 0.000405843
           4   -0.495612   -0.493861 0.000590041
           5   -0.493784   -0.493846 0.000472234
           6   -0.491464   -0.493449  0.00053494
           7   -0.494876   -0.493653 0.000495861
           8   -0.493748   -0.493665 0.000434022
           9      -0.494   -0.493702 0.000387395
          10    -0.49194   -0.493526 0.000386646
          11   -0.493444   -0.493518 0.000351568
          12   -0.493972   -0.493556 0.000324298
          13   -0.492344   -0.493463 0.000312466
          14   -0.494076   -0.493507 0.000293201
          15   -0.491796   -0.493393 0.000294999
          16   -0.493484   -0.493398 0.000276617
          17   -0.494188   -0.493445 0.000264218
          18    -0.49308   -0.493424 0.000250315
          19    -0.49462   -0.493487 0.000244921
          20   -0.492924   -0.493459 0.000234289
