#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     22.0949     22.0949           0
           2     22.4581     22.2765    0.128396
           3     20.9853     21.8461    0.361706
           4     20.7537      21.573    0.359899
           5     21.8664     21.6317    0.292666
           6     21.6115     21.6283    0.243907
           7      20.295     21.4379    0.273507
           8     20.4123     21.3097     0.26768
           9     23.0902     21.5075    0.302332
          10     19.9634     21.3531    0.309023
          11     21.7817     21.3921    0.283377
          12     20.9891     21.3585    0.261744
          13     22.0879     21.4146    0.247551
          14     19.7157     21.2932    0.257902
          15     21.8302      21.329    0.243181
          16     20.8909     21.3017    0.229518
          17     21.7825     21.3299    0.217753
          18     19.1263     21.2075     0.23759
          19     22.0462     21.2517    0.229149
          20      22.128     21.2955    0.221841
