#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.91072    -0.91072           0
           2   -0.915908   -0.913314  0.00183423
           3   -0.914424   -0.913684  0.00125959
           4   -0.912768   -0.913455 0.000965284
           5   -0.906628    -0.91209  0.00144492
           6    -0.91778   -0.913038  0.00148304
           7    -0.91126   -0.912784  0.00129274
           8   -0.909996   -0.912435  0.00117719
           9   -0.916876   -0.912929  0.00114513
          10    -0.91832   -0.913468  0.00115054
          11   -0.912192   -0.913352  0.00105178
          12   -0.913376   -0.913354 0.000964131
          13   -0.918228   -0.913729 0.000960102
          14    -0.90522   -0.913121  0.00106669
          15   -0.918512   -0.913481  0.00105438
          16   -0.917288   -0.913718  0.00101498
          17    -0.91466   -0.913774 0.000956787
          18   -0.908312    -0.91347 0.000950532
          19    -0.91252    -0.91342 0.000901819
          20   -0.914268   -0.913463 0.000857724
