#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1554.6      1554.6           0
           2      1731.3     1642.95     62.4753
           3     1655.02     1646.97     41.7795
           4     1602.91     1635.96     32.7549
           5     1509.17      1610.6     34.6561
           6     1794.94     1641.32     40.2571
           7     1474.87     1617.54     40.9306
           8     1559.96     1610.35     36.4417
           9     1851.38     1637.13     41.0712
          10     1666.81      1640.1     37.0712
          11     1589.07     1635.46     33.9901
          12     1597.93     1632.33     31.3011
          13     1881.52      1651.5     34.2634
          14     1325.83     1628.24     38.9196
          15     1863.72     1643.94     39.3639
          16     1705.46     1647.78      37.091
          17     1743.85     1653.43     35.3371
          18     1399.51     1639.33       36.08
          19     1574.46     1635.91     34.3421
          20     1656.88     1636.96      32.641
