#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.6233      2.6233           0
           2      -7.108    -2.24235     3.44053
           3     -0.0979    -1.52753     2.36678
           4     -4.6372    -2.30495     1.89848
           5     -3.5563    -2.55522     1.53519
           6      1.7406    -1.83925     1.43661
           7     -3.7937    -2.11846     1.25822
           8      4.0904    -1.34235     1.31876
           9     -1.6564    -1.37724     1.17269
          10     -8.5252    -2.09204     1.25449
          11     -3.4811    -2.21832     1.14679
          12      3.8134    -1.71567     1.15614
          13     -0.9728    -1.65853     1.06862
          14      1.6398    -1.42294     1.01793
          15     -4.4836    -1.62698    0.970301
          16      2.3356    -1.37932    0.940733
          17     -0.3412    -1.31825    0.887375
          18     -1.5308    -1.33006    0.838155
          19     -3.5679    -1.44784    0.802275
          20    -11.2359    -1.93724    0.899127
