#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     21.2325     21.2325           0
           2     21.3996      21.316   0.0590908
           3     21.6951     21.4424    0.110439
           4     20.6961     21.2558    0.181567
           5      21.828     21.3703    0.177696
           6     22.2032     21.5091    0.194904
           7     21.0731     21.4468    0.176732
           8     21.2931     21.4276    0.155681
           9     21.7893     21.4678    0.143476
          10     21.1321     21.4342    0.132999
          11     21.6986     21.4583     0.12306
          12     21.0242     21.4221    0.118001
          13      20.897     21.3817    0.115629
          14     21.9815     21.4245    0.115034
          15     21.9961     21.4626      0.1135
          16     21.8063     21.4841    0.108419
          17     21.5154      21.486    0.102057
          18     21.4818     21.4857   0.0963873
          19     21.2911     21.4755   0.0918571
          20      21.883     21.4959    0.089496
