#   N_BLOCK:  ACCEPTANCE:
           1    0.218845
           2    0.218065
           3    0.217327
           4    0.217099
           5    0.217215
           6    0.217027
           7    0.216965
           8    0.217548
           9    0.217603
          10     0.21752
          11     0.21763
          12    0.217547
          13    0.217438
          14    0.217604
          15    0.217416
          16     0.21737
          17     0.21745
          18    0.217498
          19    0.217403
          20      0.2175
