#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.781076   -0.781076           0
           2   -0.782196   -0.781636  0.00039598
           3   -0.784352   -0.782541 0.000784925
           4    -0.78424   -0.782966  0.00069413
           5   -0.782172   -0.782807 0.000573181
           6   -0.783124    -0.78286 0.000480077
           7   -0.783852   -0.783002 0.000431905
           8   -0.778844   -0.782482 0.000615761
           9   -0.781784   -0.782404 0.000552205
          10    -0.78364   -0.782528  0.00051062
          11   -0.781364   -0.782422 0.000475038
          12    -0.78286   -0.782459 0.000436851
          13   -0.784328   -0.782602 0.000426256
          14   -0.779808   -0.782403 0.000440069
          15   -0.785252   -0.782593 0.000449859
          16   -0.783432   -0.782645  0.00042479
          17   -0.781188    -0.78256  0.00040836
          18   -0.781172   -0.782482 0.000392881
          19   -0.784436   -0.782585 0.000385422
          20    -0.78084   -0.782498   0.0003759
