#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -1.6106     -1.6106           0
           2      1.2483    -0.18115     1.01077
           3      0.0521     -0.1034    0.676833
           4      0.2381   -0.018025    0.512981
           5     -1.4947    -0.31336    0.488051
           6      0.0394   -0.254567    0.410235
           7     -0.2317     -0.2513    0.351643
           8     -0.3999   -0.269875    0.308178
           9      1.2133   -0.105078    0.314931
          10      0.8611    -0.00846     0.29789
          11     -0.7418  -0.0751273    0.278169
          12      0.9214  0.00791667    0.267097
          13     -0.1786 -0.00643077    0.246936
          14      1.8358    0.125157    0.262023
          15      0.6063    0.157233     0.24651
          16      0.4625    0.176313     0.23184
          17     -0.3874    0.143153    0.220561
          18      0.1027    0.140906    0.208319
          19     -1.2439   0.0680211    0.209718
          20     -0.9701    0.016115    0.205555
