#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     418.412     418.412           0
           2     413.931     416.171     1.58414
           3     447.777     426.707     8.66665
           4     417.268     424.347     6.81363
           5     426.639     424.806      5.4663
           6     463.971     431.333     7.50048
           7     452.732      434.39     7.02438
           8     411.396     431.516     6.70866
           9     433.751     431.764     5.96785
          10     452.081     433.796     5.70644
          11     428.115     433.279     5.21099
          12      442.36     434.036     4.83137
          13     437.989      434.34     4.46929
          14     435.208     434.402     4.15048
          15     472.986     436.974     4.60234
          16     428.511     436.445     4.34499
          17     424.749     435.757     4.14352
          18     425.669     435.197     3.95105
          19     456.874     436.338     3.90435
          20     429.164     435.979     3.72557
