#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      790.42      790.42           0
           2     696.664     743.542     33.1478
           3     759.528     748.871     22.5228
           4     745.679     748.073     16.9062
           5     715.998     741.658     14.6917
           6     847.207      759.25     20.1935
           7     697.043     750.363     19.1646
           8     786.522     754.883     17.2938
           9     794.636       759.3     15.9264
          10     721.102      755.48     14.7847
          11     725.292     752.736      13.693
          12     736.599     751.391     12.6178
          13     721.262     749.073     11.8581
          14      675.21     743.797     12.1281
          15      773.73     745.793     11.4826
          16     802.906     749.362     11.3062
          17     902.299     758.359     13.7624
          18     657.732     752.768     14.0876
          19     823.724     756.503     13.8323
          20     707.219     754.039     13.3584
