#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     22.5127     22.5127           0
           2     20.7354     21.6241    0.628382
           3     23.3546     22.2009    0.630342
           4     22.3226     22.2313     0.47349
           5     21.3752     22.0601     0.40858
           6     22.0054      22.051    0.340585
           7     20.8973     21.8862      0.3294
           8     21.7744     21.8722    0.288522
           9     22.7126     21.9656    0.271154
          10     21.3254     21.9016    0.251483
          11     21.7746       21.89    0.228885
          12      22.176     21.9139    0.211048
          13     21.2003      21.859    0.201826
          14     21.2392     21.8147    0.192203
          15     22.7043      21.874    0.188319
          16     21.9691       21.88    0.176642
          17     22.3541     21.9078    0.168439
          18     21.4194     21.8807    0.161252
          19     22.1906      21.897    0.153588
          20     20.8707     21.8457    0.154243
