#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.4286      1.4286           0
           2     -0.5311     0.44875    0.692859
           3     -1.9528   -0.351767    0.800359
           4     -1.4708   -0.631525    0.647319
           5     -2.6835    -1.04192    0.634754
           6      1.6335   -0.596017    0.667452
           7     -2.7352   -0.901614    0.638239
           8      4.2106   -0.262587    0.818039
           9      0.9176   -0.131456    0.737581
          10     -3.1045    -0.42876    0.721257
          11     -2.2824   -0.597273    0.675087
          12      2.4187   -0.345942    0.663968
          13      0.1609   -0.306954    0.614037
          14       1.797   -0.156671     0.58828
          15     -2.0772   -0.284707    0.562822
          16     -0.5027   -0.298331    0.527811
          17     -1.1485   -0.348341    0.499127
          18     -2.2615   -0.454628    0.482581
          19     -1.5954   -0.514668    0.460902
          20     -3.3261    -0.65524    0.458793
