#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847328   -0.847328           0
           2   -0.845676   -0.846502  0.00058407
           3    -0.84714   -0.846715 0.000426343
           4   -0.850228   -0.847593 0.000825134
           5   -0.846544   -0.847383 0.000686261
           6   -0.854704   -0.848603  0.00125206
           7     -0.8466   -0.848317  0.00110542
           8   -0.844472   -0.847837  0.00106663
           9   -0.848312   -0.847889 0.000949422
          10   -0.848172   -0.847918 0.000854901
          11   -0.847404   -0.847871 0.000778456
          12   -0.847904   -0.847874  0.00071359
          13   -0.847564    -0.84785 0.000659096
          14   -0.847728   -0.847841 0.000612075
          15   -0.846236   -0.847734 0.000580549
          16   -0.851408   -0.847964 0.000587922
          17    -0.85302   -0.848261 0.000624053
          18   -0.844436   -0.848049 0.000624519
          19   -0.851448   -0.848228 0.000616745
          20   -0.844748   -0.848054 0.000609954
